index,name,default
175,LFO 3 Tempo,0.5833333134651184
176,LFO 4 Delay,0.0
177,LFO 4 Fade In,0.0
178,LFO 4 Frequency,0.5
179,LFO 4 Phase,0.0
180,LFO 4 Sync,0.25
181,LFO 4 Sync Type,0.0
182,LFO 4 Tempo,0.5833333134651184
183,LFO 5 Delay,0.0
184,LFO 5 Fade In,0.0
185,LFO 5 Frequency,0.5
186,LFO 5 Phase,0.0
187,LFO 5 Sync,0.25
188,LFO 5 Sync Type,0.0
189,LFO 5 Tempo,0.5833333134651184
190,LFO 6 Delay,0.0
191,LFO 6 Fade In,0.0
192,LFO 6 Frequency,0.5
193,LFO 6 Phase,0.0
194,LFO 6 Sync,0.25
195,LFO 6 Sync Type,0.0
196,LFO 6 Tempo,0.5833333134651184
197,LFO 7 Delay,0.0
198,LFO 7 Fade In,0.0
199,LFO 7 Frequency,0.5
200,LFO 7 Phase,0.0
201,LFO 7 Sync,0.25
202,LFO 7 Sync Type,0.0
203,LFO 7 Tempo,0.5833333134651184
204,LFO 8 Delay,0.0
205,LFO 8 Fade In,0.0
206,LFO 8 Frequency,0.5
207,LFO 8 Phase,0.0
208,LFO 8 Sync,0.25
209,LFO 8 Sync Type,0.0
210,LFO 8 Tempo,0.5833333134651184
211,Macro 1,0.0
212,Macro 2,0.0
213,Macro 3,0.0
214,Macro 4,0.0
215,Modulation 10 Amount,0.5
216,Modulation 10 Bipolar,0.0
217,Modulation 10 Bypass,0.0
218,Modulation 10 Power,0.5
219,Modulation 10 Stereo,0.0
220,Modulation 11 Amount,0.5
221,Modulation 11 Bipolar,0.0
222,Modulation 11 Bypass,0.0
223,Modulation 11 Power,0.5
224,Modulation 11 Stereo,0.0
225,Modulation 12 Amount,0.5
226,Modulation 12 Bipolar,0.0
227,Modulation 12 Bypass,0.0
228,Modulation 12 Power,0.5
229,Modulation 12 Stereo,0.0
230,Modulation 13 Amount,0.5
231,Modulation 13 Bipolar,0.0
232,Modulation 13 Bypass,0.0
233,Modulation 13 Power,0.5
234,Modulation 13 Stereo,0.0
235,Modulation 14 Amount,0.5
236,Modulation 14 Bipolar,0.0
237,Modulation 14 Bypass,0.0
238,Modulation 14 Power,0.5
239,Modulation 14 Stereo,0.0
240,Modulation 15 Amount,0.5
241,Modulation 15 Bipolar,0.0
242,Modulation 15 Bypass,0.0
243,Modulation 15 Power,0.5
244,Modulation 15 Stereo,0.0
245,Modulation 16 Amount,0.5
246,Modulation 16 Bipolar,0.0
247,Modulation 16 Bypass,0.0
248,Modulation 16 Power,0.5
249,Modulation 16 Stereo,0.0
250,Modulation 17 Amount,0.5
251,Modulation 17 Bipolar,0.0
252,Modulation 17 Bypass,0.0
253,Modulation 17 Power,0.5
254,Modulation 17 Stereo,0.0
255,Modulation 18 Amount,0.5
256,Modulation 18 Bipolar,0.0
257,Modulation 18 Bypass,0.0
258,Modulation 18 Power,0.5
259,Modulation 18 Stereo,0.0
260,Modulation 19 Amount,0.5
261,Modulation 19 Bipolar,0.0
262,Modulation 19 Bypass,0.0
263,Modulation 19 Power,0.5
264,Modulation 19 Stereo,0.0
265,Modulation 1 Amount,0.5
266,Modulation 1 Bipolar,0.0
267,Modulation 1 Bypass,0.0
268,Modulation 1 Power,0.5
269,Modulation 1 Stereo,0.0
270,Modulation 20 Amount,0.5
271,Modulation 20 Bipolar,0.0
272,Modulation 20 Bypass,0.0
273,Modulation 20 Power,0.5
274,Modulation 20 Stereo,0.0
275,Modulation 21 Amount,0.5
276,Modulation 21 Bipolar,0.0
277,Modulation 21 Bypass,0.0
278,Modulation 21 Power,0.5
279,Modulation 21 Stereo,0.0
280,Modulation 22 Amount,0.5
281,Modulation 22 Bipolar,0.0
282,Modulation 22 Bypass,0.0
283,Modulation 22 Power,0.5
284,Modulation 22 Stereo,0.0
285,Modulation 23 Amount,0.5
286,Modulation 23 Bipolar,0.0
287,Modulation 23 Bypass,0.0
288,Modulation 23 Power,0.5
289,Modulation 23 Stereo,0.0
290,Modulation 24 Amount,0.5
291,Modulation 24 Bipolar,0.0
292,Modulation 24 Bypass,0.0
293,Modulation 24 Power,0.5
294,Modulation 24 Stereo,0.0
295,Modulation 25 Amount,0.5
296,Modulation 25 Bipolar,0.0
297,Modulation 25 Bypass,0.0
298,Modulation 25 Power,0.5
299,Modulation 25 Stereo,0.0
300,Modulation 26 Amount,0.5
301,Modulation 26 Bipolar,0.0
302,Modulation 26 Bypass,0.0
303,Modulation 26 Power,0.5
304,Modulation 26 Stereo,0.0
305,Modulation 27 Amount,0.5
306,Modulation 27 Bipolar,0.0
307,Modulation 27 Bypass,0.0
308,Modulation 27 Power,0.5
309,Modulation 27 Stereo,0.0
310,Modulation 28 Amount,0.5
311,Modulation 28 Bipolar,0.0
312,Modulation 28 Bypass,0.0
313,Modulation 28 Power,0.5
314,Modulation 28 Stereo,0.0
315,Modulation 29 Amount,0.5
316,Modulation 29 Bipolar,0.0
317,Modulation 29 Bypass,0.0
318,Modulation 29 Power,0.5
319,Modulation 29 Stereo,0.0
320,Modulation 2 Amount,0.5
321,Modulation 2 Bipolar,0.0
322,Modulation 2 Bypass,0.0
323,Modulation 2 Power,0.5
324,Modulation 2 Stereo,0.0
325,Modulation 30 Amount,0.5
326,Modulation 30 Bipolar,0.0
327,Modulation 30 Bypass,0.0
328,Modulation 30 Power,0.5
329,Modulation 30 Stereo,0.0
330,Modulation 31 Amount,0.5
331,Modulation 31 Bipolar,0.0
332,Modulation 31 Bypass,0.0
333,Modulation 31 Power,0.5
334,Modulation 31 Stereo,0.0
335,Modulation 32 Amount,0.5
336,Modulation 32 Bipolar,0.0
337,Modulation 32 Bypass,0.0
338,Modulation 32 Power,0.5
339,Modulation 32 Stereo,0.0
340,Modulation 3 Amount,0.5
341,Modulation 3 Bipolar,0.0
342,Modulation 3 Bypass,0.0
343,Modulation 3 Power,0.5
344,Modulation 3 Stereo,0.0
345,Modulation 4 Amount,0.5
346,Modulation 4 Bipolar,0.0
347,Modulation 4 Bypass,0.0
348,Modulation 4 Power,0.5
349,Modulation 4 Stereo,0.0
350,Modulation 5 Amount,0.5
351,Modulation 5 Bipolar,0.0
352,Modulation 5 Bypass,0.0
353,Modulation 5 Power,0.5
354,Modulation 5 Stereo,0.0
355,Modulation 6 Amount,0.5
356,Modulation 6 Bipolar,0.0
357,Modulation 6 Bypass,0.0
358,Modulation 6 Power,0.5
359,Modulation 6 Stereo,0.0
360,Modulation 7 Amount,0.5
361,Modulation 7 Bipolar,0.0
362,Modulation 7 Bypass,0.0
363,Modulation 7 Power,0.5
364,Modulation 7 Stereo,0.0
365,Modulation 8 Amount,0.5
366,Modulation 8 Bipolar,0.0
367,Modulation 8 Bypass,0.0
368,Modulation 8 Power,0.5
369,Modulation 8 Stereo,0.0
370,Modulation 9 Amount,0.5
371,Modulation 9 Bipolar,0.0
372,Modulation 9 Bypass,0.0
373,Modulation 9 Power,0.5
374,Modulation 9 Stereo,0.0
375,Oscillator 1 Detune Power,0.6499999761581421
376,Oscillator 1 Detune Range,0.0416666679084301
377,Oscillator 1 Distortion Amount,0.5
